Questions	A	B	C	D	Answer	Marks
If arc(cosx) – arc(sinx) = π/6, then x is	1/2 	sqrt(3)/2	1/sqrt(2)	1	1/2	1
Angle between x = 2 and x -3y = 6 is	arc(tan(2/3))	arc(tan(3))	arc(tan(1/3))	arc(tan(3/2))	arc(tan(3))	1
In a three dimensional xyz space, the equation x^`2 – 5x + 6 = 0 represents	point	pair of lines	sphere	a pair of planes	a pair of planes	1
If f(x) = x + 2, then f’f(x)) at x = 4 is 	8	4	1	5	1	1
The number of values of x for which sin2x + cos4x =2 is	0	1	2	infinite	0	1
If A is a singular matrix of order n then A(adj.A) is a	scalar matrix	square matrix	symmetric matrix	zero matrix	zero matrix	1
If the root of ax^`2 + b = 0 are real and distinct then	ab>0	ab<0	ab = 0	a>0,b>0	ab<0	1
The point (a,0),(0,b) and (1,1) are collinear if	a + b = ab	a – b = ab	b – a = ab	a + b +ab = 0	a + b = ab	1
Angle between two lines xcosα + ysinα = p and xcosβ + ysinβ = p’ is	|α + β |	|α - β |	2|α - β |	2|α + β |	|α - β |	1
The period of the function f(x) = tan3x is	π	2π	π/2	π/3	π/3	1
If the sum of roots of the x^`2 + px + q = 0 is equal to sum of their squares, then	p^`2 + p = 2q	p^`2 - p = 2q	p^`2 + 2q = p	p^`2 + 4p = q	p^`2 + p = 2q	1
