Questions	A	B	C	D	Answer	Marks
If f(x) = mx + c, f(0) = f’(0) = 1 then f(1) is equal to	m	c	1	2	2	1
The equation sin^`2x = 1/4 has the general solution	nπ ± π/6	2nπ + π/6	nπ + (-1)ⁿ( π/6)	nπ + (-1)ⁿ(-π/6)	nπ ± π/6	1
The atomic weight of a divalent metal that forms an oxide which	contains 28.57% oxygen is	12	20	24	40	40	1
In which of this species octet rule is violated	CO	SO₃	AlCl₃	PCl₃	AlCl₃	1
Which of these is most acidic oxide?	SiO₂	P₂O₅	CO₂	N₂ O₅	N₂O₅	1
The number of electron present in 1.7 gm of ammonia is	0.1Nₐ	0.5 Nₐ	Nₐ	1.2 Nₐ	Nₐ	1
Which of this have anionic hydrolysis?	NH₄Cl	KCl	HCOOK	NaNO₃	HCOOK	1
The equivalent weight of KMnO₄ in neutral medium is	Mol.wt/3	Mol.wt/4	Mol.wt/5	Mol.wt/6	Mol.wt/3	1
Washing soda removes hardness by	N₂O	NO	O₂	CO₂	NO	1
Which of this can reduce both conc.H₂SO₄ and FeCl₃ solution	HF	HCl	HBr	HI	HI	1
Washing soda removes hardness by	N₂O	NO	O₂	CO₂	NO	1
Which of this alloy contain iron?	Constantan	Dutch metal	Invar	German silver	Invar	1
In open-hearth process impurities are removed using	air	heamatite	CO₂	CO	heamatite	1
Essential oils can be purified by	fractional distillation	steam distillation	sublimation	centrifuge	steam distillation	1
AlCl₃ is	Lewis acid	Bronsted acid	Lewis base	Bronsted base	Lewis acid	1
The volume of CO₂ gas at STP that can be absorbed by 4 gm of NaOH as Na₂CO₃ is	1.12L	2.24L	3.36L	4.48L	1.12L	1
Which of these is a nucleophile?	CO₂	FeCl₃	SO₃	H₂S	SO₃	1
The intermediate formed during addition of HBr to propene in the presence of peroxide is	carbocation	Carbanion	free radical	Carbene	free radical	1
In hydropower the energy may be due to	temperature	water current	color of water	all of the above	water current	1
In traffic signals ……. color is used to indicate not to stop the running vehicles.	red	green	black	blue	green	1
Generally ………. is/are used to construct wall.	steel	plastics	coarse aggregates	brick and stones	brick and stones	1
To get higher capacitance, two capacitors are to be placed in	series	parallel	both a & b	none of the above	series	1
Which of the following is not the source of energy?	biomass	eraser	sunlight	nuclear power	eraser	1
Which type of transformer is used to supply electricity from a main transmission grid line to household?	step up	step down	both a and b	none of the above	step down	1
The instrument used to measure power is	ammeter	voltmeter	wattmeter	watt-hr meter	wattmeter	1
Which of the following is/are Operating System/s?	Linux	UNIX	Mac OS	all of the above	all of above	1
Which of the following is not from the field of electronics and computer engineering.	diode	transistor	monitor	cement	cement	1
