Questions	A	B	C	D	Answer	Marks
Which of these is most reducing?	HCl	HF	HBr	HI	HI	1
The flux used during extraction of iron from haematite is	CaO	SiO₂	CaCO₃	MgCO₃	CaCO₃	1
The process of cleaning surface of iron using dilute acid is	pickling	sherardizing	galvanizing	annealing	pickling	1
The number of isomers of C₅H₁₂ are	3	4	5	6	3	1
Which of these is an electrophile?	NH₃	BF₃	H₂O	PH₃	BF₃	1
Ethyne and ethane can be separated using	Baeyers reagent	Br₂ water	Tollens reagent	conc.H₂SO₄	Tollens reagent
To get higher capacitance, two capacitors are to be placed in	series	parallel	both a & b	none of the above	series	1
Which of the following is not the source of energy?	biomass	eraser	sunlight	nuclear power	eraser	1
Which type of transformer is used to supply electricity from a main transmission grid line to household?	step up	step down	both a and b	none of the above	step down	1
The instrument used to measure power is	ammeter	voltmeter	wattmeter	watt-hr meter	wattmeter	1
The full form of RAM is --------------- Memory	Random Access	Right Across	Right Alligned	Read Allow	Random Access	1
Which of the following is/are Operating System/s?	Linux	UNIX	Mac OS	all of the above	all of above	1

